video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nrvGKqFzQJA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Why come to the University of Washington? (:30),18M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 04:46:20.491397
/watch?v=QGQv8vv4KQg&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Why come to the University of Washington?,1.4M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 04:46:20.492781
/watch?v=HmKKy0zD-uw&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-22 04:46:20.494964
/watch?v=klDLZ6mAS1k&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,71K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-01-22 04:46:20.496730
/watch?v=gOmiwd2HS_c&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWVideo,UW Video,University of Washington Campus Tour,481K,13 years,"Check out the University of Washington's main campus, with a look at the natural beauty and architectural wonders that make the ...",2026-01-22 04:46:20.498852
/watch?v=Nzuyyfe2dTs&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),"Be Boundless - for Washington, for the World",34K,8 years,"What you care about can change the world. Together, we can turn ideas into impact. Join us today. Learn more here: ...",2026-01-22 04:46:20.500056
/watch?v=WzJc75S-LzY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-22 04:46:20.501794
/watch?v=D4R-YZ-VZhQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,164K,7 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2026-01-22 04:46:20.502949
/watch?v=Crc8BhZ0WcQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@NataliaReneee,Natalia Renee,Day in the Life as a Freshman at The University of Washington! *2025*,4.4K,9 months,spend a day with me to get insight on what it's like attending the University of Washington   socials: insta: @nataliarnandez I ...,2026-01-22 04:46:20.504112
/watch?v=mo79gw5GgsE&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,This is T-Mobile and University of Washington Athletics,939,8 months,Powered by purpose and rooted in the Pacific Northwest. This is T-Mobile and @UW_Athletics a new partnership built on ...,2026-01-22 04:46:20.505298
/watch?v=4uRslLgGBK0&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),University of Washington joins the Big Ten Conference,1.5K,1 year,"Welcome to the University of Washington, where innovation meets tradition in the heart of the Pacific Northwest. As we join the Big ...",2026-01-22 04:46:20.506459
/watch?v=jW_aLch4NVg&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@SeattlestheCity4K,Seattle's the City! Walking Tours and Events,4K UW Campus Walking Tour | University of Washington First Day of School 2025 #seattle #fall #uw,805,3 months,Join me for a 4K walking tour of the University of Washington (UW) campus in Seattle on the first day of school 2025!,2026-01-22 04:46:20.507622
/watch?v=c8WeII08hEk&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@ProwalkTours,Prowalk Tours,"University of Washington Campus Tour 🌸 Cherry Blossoms in The Quad - Seattle, WA",12K,9 months,Enjoy a colorful walk through the beautiful University of Washington campus in Seattle during peak cherry blossom season.,2026-01-22 04:46:20.512123
/watch?v=l7QcjMv3LsY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@POVTrips,POV Trips,University of Washington Tour | UW Campus Tour | Seattle POV Walk in 4K,2.8K,1 month,Discover the stunning University of Washington campus in Seattle in this 4K POV walking tour with natural ambient sound and no ...,2026-01-22 04:46:20.515148
/watch?v=BIWAo4DKyLo&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,8.9K,2 years,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2026-01-22 04:46:20.516765
/watch?v=eArtrDFSF24&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,59K,4 years,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2026-01-22 04:46:20.518415
/watch?v=dCGh9XhNxMI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@R247Success,R247 Success,The University of Washington System | All 3 Campuses,6.8K,2 years,The University of Washington System. University of Washington Campus Tour. University of Washington Seattle. University of ...,2026-01-22 04:46:20.521416
/watch?v=wUrKMtMGvRc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),2024 highlights - University of Washington,1.7K,1 year,Magical moments and memorable events — from a baby sea star getting its first taste of the open ocean to a cherry tree blooming ...,2026-01-22 04:46:20.523152
/watch?v=etRZCmYa1bw&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@dobochobo,dobochobo,first week of college 🍵☔️ as a senior @ university of washington!,187K,2 years,"check out SigmaOS https://go.sigmaos.com/dobochobo a week of settling in, trying to get back into the groove of college life, ...",2026-01-22 04:46:28.328576
/watch?v=LjkxivvFewI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@ejaaym,ej,"college day in my life | winter quarter @ uw seattle ♡ classes, PSA & more",1.1K,1 year,and we are back in 2025 ;) spend a day with me during week 2 of winter quarter at uw seattle! INSTA: ​@ enricajac TIKTOK: ...,2026-01-22 04:46:28.329654
/watch?v=HQ2BiY1FqCA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWHFS,UWHFS,#HuskyHome | UW Residential Housing Tour,92K,6 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 04:46:28.333483
/watch?v=f_6opswUTtY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@purpleguac,Purple Guac,UW TALKS: What You Need to Know About the University Of Washington,20K,5 years,"UW Talks Episode 1. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-22 04:46:28.335096
/watch?v=cnn4MZZ5H_A&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@idkpayton,payton!,a day in the life of a university of washington student 💜 | mcmahon hall dorm tour!,26K,1 year,big thank you to quinlan for taking me along with him to uni for the day and emberlee for showing me her dorm in mcmahon hall!!,2026-01-22 04:46:28.336528
