video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nrvGKqFzQJA&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),Why come to the University of Washington? (:30),18M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 04:54:56.304216
/watch?v=QGQv8vv4KQg&pp=ygUFdW9md2HSBwkJhwoBhyohjO8%3D,/@universityofwashington,UW (University of Washington),Why come to the University of Washington?,1.4M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 04:54:56.306640
/watch?v=WzJc75S-LzY&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-22 04:54:56.309523
/watch?v=HmKKy0zD-uw&pp=ygUFdW9md2E%3D,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-22 04:54:56.313548
/watch?v=Crc8BhZ0WcQ&pp=ygUFdW9md2E%3D,/@NataliaReneee,Natalia Renee,Day in the Life as a Freshman at The University of Washington! *2025*,4.4K,9 months,spend a day with me to get insight on what it's like attending the University of Washington   socials: insta: @nataliarnandez I ...,2026-01-22 04:54:56.315960
/watch?v=klDLZ6mAS1k&pp=ygUFdW9md2E%3D,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,71K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-01-22 04:54:56.317817
/watch?v=BIWAo4DKyLo&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,8.9K,2 years,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2026-01-22 04:54:56.320321
/watch?v=hbmOw5OL_e8&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),UW's 2025 video storytelling highlights,871,1 month,"This year at the University of Washington, we saw cosmic images from a brand new telescope and supercharged a breast cancer ...",2026-01-22 04:54:56.322555
/watch?v=HiOeWc7Maf4&pp=ygUFdW9md2E%3D,/@UW_Athletics,UW Athletics,"Washington 49, Purdue 13 | Huskies Highlights",6.8K,2 months,"Washington football defeated Purdue 49-13, with offense dominating on the field. Running Back Adam Mohammed achieved a ...",2026-01-22 04:54:56.327526
/watch?v=f_6opswUTtY&pp=ygUFdW9md2E%3D,/@purpleguac,Purple Guac,UW TALKS: What You Need to Know About the University Of Washington,20K,5 years,"UW Talks Episode 1. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-22 04:54:56.330019
/watch?v=l7QcjMv3LsY&pp=ygUFdW9md2E%3D,/@POVTrips,POV Trips,University of Washington Tour | UW Campus Tour | Seattle POV Walk in 4K,2.8K,1 month,Discover the stunning University of Washington campus in Seattle in this 4K POV walking tour with natural ambient sound and no ...,2026-01-22 04:54:56.332584
/watch?v=nRcVRoDPEkI&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),A family of four earned University of Washington degrees in the same week,659,8 years,"This family of four has a lot to celebrate this year. Immigrants from Azerbaijan, they all earned UW degrees in the same week, and ...",2026-01-22 04:54:56.336513
/watch?v=D_SB9Bd-AOc&list=RDD_SB9Bd-AOc&start_radio=1&pp=ygUFdW9md2GgBwE%3D,/@universityofwashington,UW (University of Washington),Boundless Opportunity at the University of Washington (featuring symphony),89K,11 years,"For those who believe in the possibility of tomorrow, we know a place where you have the opportunity to be truly boundless.",2026-01-22 04:54:56.338139
/watch?v=D4R-YZ-VZhQ&pp=ygUFdW9md2E%3D,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,164K,7 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2026-01-22 04:54:56.341561
/watch?v=QX3XkjOdgg0&pp=ygUFdW9md2E%3D,/@UW_Athletics,UW Athletics,"Washington 24,  Maryland 20 | Huskies Highlights",15K,3 months,"Washington Huskies Highlights vs. Maryland Terrapins | 2025 Regular Season Week 6, 10/04/2025. Subscribe & hit the bell to ...",2026-01-22 04:54:56.343219
/watch?v=G5UsLsua8p8&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),"Welcome back, Huskies!",5.7K,5 years,"The presidents of ASUW in Seattle, Bothell and Tacoma join the president of GPSS in welcoming students back for spring quarter ...",2026-01-22 04:54:56.345334
/watch?v=WJS5nspQzCk&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),"Welcome, #NewHuskies2019",5.9K,6 years,Congratulations and welcome to the #UWFamily! Visit uw.edu/newhuskies/ and learn about the steps to become a Husky today.,2026-01-22 04:54:56.348589
/watch?v=APu1Fhc-Z1I&pp=ygUFdW9md2E%3D,/@purpleguac,Purple Guac,WORST Things About University of Washington,68K,5 years,"UW Talks Episode 2. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-22 04:54:56.352955
/watch?v=wUrKMtMGvRc&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),2024 highlights - University of Washington,1.7K,1 year,Magical moments and memorable events — from a baby sea star getting its first taste of the open ocean to a cherry tree blooming ...,2026-01-22 04:55:03.318277
/watch?v=TMLZ1mfnjb8&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),#BestofUW 2015,30K,10 years,"We salute the #BestofUW moments from 2015! Whether they're from a lecture hall or a practice space, in the middle of one of our ...",2026-01-22 04:55:03.319496
/watch?v=hzSE2icQaJI&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),"At the University of Washington, we all pull together.",94K,2 years,"At the UW, when we combine our individual passions with a shared purpose, we go further, faster — together. For pushing ...",2026-01-22 04:55:03.320583
/watch?v=XFMlmKquvgI&pp=ygUFdW9md2HSBwkJhwoBhyohjO8%3D,/@KING5Seattle,KING 5 Seattle,UW students confront man who disrupted lecture with Nazi salute,38K,3 months,A man interrupted a UW psychology class with a Nazi salute; students quickly pushed him out.,2026-01-22 04:55:03.324111
/watch?v=a6-9cnhctLs&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),New University of Washington Life Sciences Building opens,4.1K,7 years,"The University of Washington today opened the doors to a new Life Sciences Building that will transform learning, teaching and ...",2026-01-22 04:55:03.325292
/watch?v=Y-cn6v6VGj4&pp=ygUFdW9md2E%3D,/@CampusMania,CampusMania,University of Washington | UW | 8K Campus Drone Tour,43K,4 years,An 8K tour of University of Washington campus! Check below for selected chapters of the video. Washington Universities Playlist: ...,2026-01-22 04:55:03.326866
/watch?v=z87eMMrftLU&pp=ygUFdW9md2E%3D,/@fox13seattle,FOX 13 Seattle,Cameras capture UW football players assaulting bicyclist | FOX 13 Seattle,1.9M,1 year,Newly released video shows the moment two former University of Washington football players assaulted a bicyclist in what Seattle ...,2026-01-22 04:55:03.328017
/watch?v=zk4E8nh55pI&pp=ygUFdW9md2E%3D,/@UWVideo,UW Video,University of Washington's Friday Harbor Labs,1.8K,9 years,"A visit to the University of Washington's Friday Harbor Labs Emily Carrington, professor, Department of Biology, UW Molly Roberts ...",2026-01-22 04:55:03.329130
/watch?v=eArtrDFSF24&pp=ygUFdW9md2E%3D,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,59K,4 years,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2026-01-22 04:55:03.332761
/watch?v=o4eyDEdjSZQ&pp=ygUFdW9md2E%3D,/@uwcomm,UW Department of Communication,Hall of Fame and Alumni of Distinction Ceremony | Fall 2025,No,8 hours,"Hall of Fame and Alumni of Distinction Ceremony | Fall 2025 #uwcomm #UWCom #UW #uofwa Video Overview Each year, the ...",2026-01-22 04:55:03.333877
/watch?v=C_6yvjR8w9M&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),Boundless Opportunity at the University of Washington (featuring soccer),45K,11 years,"For those who believe in the possibility of tomorrow, we know a place where you have the opportunity to be truly boundless.",2026-01-22 04:55:03.334953
/watch?v=XZYdEuN55Zc&pp=ygUFdW9md2E%3D,/@RealCharlieKirk,Charlie Kirk,I go to the University of Washington to Prove it's a Scam,705K,1 year,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh And ...",2026-01-22 04:55:03.336127
/watch?v=4uRslLgGBK0&pp=ygUFdW9md2E%3D,/@universityofwashington,UW (University of Washington),University of Washington joins the Big Ten Conference,1.5K,1 year,"Welcome to the University of Washington, where innovation meets tradition in the heart of the Pacific Northwest. As we join the Big ...",2026-01-22 04:55:03.337303
/watch?v=oM9bwMcMIds&pp=ygUFdW9md2E%3D,/@sustainableUW,UW Sustainability,Sustainability at the University of Washington,429,1 year,"Learn about just a few of the reasons at the University of Washington, sustainability is in our nature. To learn more about the UW's ...",2026-01-22 04:55:03.340195
/shorts/_GMErKrOCOU,/@TomWilsonOfficial,Travel the World In Style,University of Washington - Seattle - USA - April 2025,4.3K,9 months,seattle #usa #travel #view #universityofwashington #mountrainier.,2026-01-22 04:55:03.342130
