video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nrvGKqFzQJA&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),Why come to the University of Washington? (:30),18M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 04:52:10.837045
/watch?v=QGQv8vv4KQg&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),Why come to the University of Washington?,1.4M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 04:52:10.838736
/watch?v=WzJc75S-LzY&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-22 04:52:10.840686
/watch?v=OMcXkXn47UQ&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hidden Gems,37K,7 years,"UW campus tour guide Liam shows off some of the best kept secrets on campus for studying, hanging out or quiet reflection.",2026-01-22 04:52:10.842947
/watch?v=Crc8BhZ0WcQ&pp=ygUCdXc%3D,/@NataliaReneee,Natalia Renee,Day in the Life as a Freshman at The University of Washington! *2025*,4.4K,9 months,spend a day with me to get insight on what it's like attending the University of Washington   socials: insta: @nataliarnandez I ...,2026-01-22 04:52:10.844198
/watch?v=QpFvZ3jk47w&pp=ygUCdXc%3D,/@uwspathletics,uwspathletics,UWSP Men's Basketball vs. UW-River Falls,251,Streamed 1 hour,The UW-Stevens Point men's basketball team takes on UW-River Falls in league play.,2026-01-22 04:52:10.845640
/watch?v=HmKKy0zD-uw&pp=ygUCdXc%3D,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-22 04:52:10.847672
/watch?v=f_6opswUTtY&pp=ygUCdXc%3D,/@purpleguac,Purple Guac,UW TALKS: What You Need to Know About the University Of Washington,20K,5 years,"UW Talks Episode 1. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-22 04:52:10.849656
/watch?v=X5PLCWTsgBA&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),Ask UW Admissions! Six frequent admissions questions answered,10K,10 months,"In this video, Paul Seegert, Director of Admissions for the University of Washington's campus in Seattle, answers six commonly ...",2026-01-22 04:52:10.850866
/watch?v=svro74-gsPQ&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW students move into campus housing during Husky Move-In week 2024,4.5K,1 year,Mild fall temperatures this week helped welcome the first group of students who moved into University of Washington residence ...,2026-01-22 04:52:10.852057
/watch?v=YkBgpQQZ784&pp=ygUCdXc%3D,/@CFBonFOX,CFB ON FOX,No. 23 Illinois Fighting Illini vs. Washington Huskies Highlights | FOX College Football,164K,2 months,Check out the best moments between the No. 23 Illinois Fighting Illini and the Washington Huskies in Week 9! #CFBonFOX #CFB ...,2026-01-22 04:52:10.853237
/watch?v=FRqi8_mMpFQ&pp=ygUCdXc%3D,/@CFBonFOX,CFB ON FOX,Washington Huskies vs. Michigan Wolverines Highlights | FOX College Football,377K,3 months,Check out the best moments from this Big Ten clash between the Washington Huskies and the Michigan Wolverines. #CFBonFOX ...,2026-01-22 04:52:10.854443
/watch?v=PceuSD7syMs&pp=ygUCdXc%3D,/@UWHFS,UWHFS,UW HFS | How To Move In To The UW,40K,3 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 04:52:10.855912
/watch?v=klDLZ6mAS1k&pp=ygUCdXc%3D,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,71K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-01-22 04:52:10.859059
/watch?v=Otv034NAG8s&pp=ygUCdXfSBwkJhwoBhyohjO8%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: IMA,59K,7 years,"The UW's Intramural Activities building is the spot on campus if you're looking for a complete workout, as well as the place for ...",2026-01-22 04:52:10.861546
/watch?v=dZcM0cT9Nvw&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: West Campus Residence Halls,85K,7 years,"UW campus tour guide Jackie shows off west campus residence hall attractions, including spaces in and around Maple, Alder and ...",2026-01-22 04:52:10.864622
/watch?v=gL4WY8MVm-w&pp=ygUCdXc%3D,/@universityofwashington,UW (University of Washington),UW welcomes students back to campus housing for fall 2025,1.3K,4 months,Read more at https://www.washington.edu/news/,2026-01-22 04:52:10.865881
/watch?v=uLiOkoYyI2c&pp=ygUCdXc%3D,/@fox13seattle,FOX 13 Seattle,UW students prepare for speaker Charlie Kirk,14K,1 year,"An appearance by right-wing host Charlie Kirk is still going on as scheduled at the University of Washington, despite calls from ...",2026-01-22 04:52:10.867146
/watch?v=BvISoFbXMRI&pp=ygUCdXfSBwkJhwoBhyohjO8%3D,/@fox13seattle,FOX 13 Seattle,Mob of students chases person accused of Nazi salute at UW | FOX 13 Seattle,77K,3 months,"University of Washington police arrested an individual Wednesday after they allegedly entered a classroom, made a Nazi salute, ...",2026-01-22 04:52:18.324170
